question,answer
"What is the capital of ""France""?",Paris
"What is the capital of ""Germany""?",Berlin
"What is the capital of ""Italy""?",Rome
"What is the capital of ""Spain""?",Madrid
"What is the capital of ""Japan""?",Tokyo
"What is the capital of ""Canada""?",Ottawa
"What is the capital of ""Brazil""?",Brasilia
"What is the capital of ""Australia""?",Canberra
"What is the capital of ""India""?",New Delhi
"What is the capital of ""China""?",Beijing
"What is the capital of ""Russia""?",Moscow
"What is the capital of ""United States""?",Washington DC
"What is the capital of ""Mexico""?",Mexico City
"What is the capital of ""Egypt""?",Cairo
"What is the capital of ""Turkey""?",Ankara
"What is the capital of ""Argentina""?",Buenos Aires
"What is the capital of ""South Korea""?",Seoul
"What is the capital of ""Indonesia""?",Jakarta
"What is the capital of ""Pakistan""?",Islamabad
"What is the capital of ""Bangladesh""?",Dhaka
"What is the capital of ""Nepal""?",Kathmandu
"What is the capital of ""Sri Lanka""?",Colombo
"What is the capital of ""Thailand""?",Bangkok
"What is the capital of ""Malaysia""?",Kuala Lumpur
"What is the capital of ""Vietnam""?",Hanoi
"What is the capital of ""UAE""?",Abu Dhabi
"What is the capital of ""Iran""?",Tehran
"What is the capital of ""Iraq""?",Baghdad
"What is the capital of ""Saudi Arabia""?",Riyadh
"What is the capital of ""Nigeria""?",Abuja
"What is the capital of ""Kenya""?",Nairobi
"What is the capital of ""Chile""?",Santiago
Who discovered 'gravity'?,Isaac Newton
Who invented the 'telephone'?,Alexander Graham Bell
What is 'H2O' commonly called?,Water
Which gas do plants absorb?,Carbon dioxide
Which planet is known as the 'Red Planet'?,Mars
Who painted the 'Mona Lisa'?,Leonardo da Vinci
What is the largest ocean?,Pacific Ocean
Who developed the 'theory of relativity'?,Albert Einstein
What is 'AI' short for?,Artificial Intelligence
What is 'ML' short for?,Machine Learning
What is 'NLP' short for?,Natural Language Processing
What does 'CPU' stand for?,Central Processing Unit
What is 'RAM'?,Computer memory
What does 'GPU' stand for?,Graphics Processing Unit
What is a 'URL'?,Web address
What does 'HTTP' stand for?,HyperText Transfer Protocol
What is 'JSON' used for?,Data exchange
What is 'SQL'?,Database query language
What does 'API' mean?,Application Programming Interface
Who invented the 'light bulb'?,Thomas Edison
Who invented the 'airplane'?,Wright Brothers
Who discovered 'penicillin'?,Alexander Fleming
Who wrote 'Hamlet'?,William Shakespeare
Who wrote 'Harry Potter'?,J K Rowling
Which country is known as the 'Land of Rising Sun'?,Japan
Which animal is called the 'King of Jungle'?,Lion
Which animal is the largest on Earth?,Blue Whale
Which bird cannot fly?,Ostrich
Which animal is known for loyalty?,Dog
Which fruit is typically red?,Apple
Which fruit is yellow?,Banana
Which organ pumps blood?,Heart
Which gas do humans breathe?,Oxygen
Which metal is liquid at room temperature?,Mercury
Which instrument measures temperature?,Thermometer
Which instrument measures pressure?,Barometer
What is the main language of Brazil?,Portuguese
What is the main language of Spain?,Spanish
What is the main religion in Saudi Arabia?,Islam
What is the national animal of Bangladesh?,Royal Bengal Tiger
"Quick question: ""Who invented the 'light bulb'""?",Thomas Edison
"""Who discovered 'penicillin'"" — do you know?",Alexander Fleming
"Do you know, ""What is the largest ocean""?",Pacific Ocean
"I was wondering, ""What is a 'URL'""?",Web address
"Hey, what about this: ""Which instrument measures pressure""?",Barometer
"""Who invented the 'telephone'"" — do you know?",Alexander Graham Bell
"I was wondering, ""Who invented the 'light bulb'""?",Thomas Edison
"Quick question: ""What is the main language of Spain""?",Spanish
"Hey, what about this: ""What is a 'URL'""?",Web address
"I was wondering, ""Which gas do humans breathe""?",Oxygen
"I was wondering, ""Which organ pumps blood""?",Heart
"Hey, what about this: ""What is the largest ocean""?",Pacific Ocean
"Do you know, ""Who invented the 'telephone'""?",Alexander Graham Bell
"Quick question: ""Who wrote 'Hamlet'""?",William Shakespeare
"""Which instrument measures pressure"" — do you know?",Barometer
"Can you tell me, ""What is the national animal of Bangladesh""?",Royal Bengal Tiger
"Quick question: ""What is the main language of Brazil""?",Portuguese
"Hey, what about this: ""Who developed the 'theory of relativity'""?",Albert Einstein
"Hey, what about this: ""What is 'AI' short for""?",Artificial Intelligence
"I was wondering, ""Which animal is known for loyalty""?",Dog
"Do you know, ""What is a 'URL'""?",Web address
"Quick question: ""Which gas do plants absorb""?",Carbon dioxide
"I was wondering, ""Who invented the 'telephone'""?",Alexander Graham Bell
"Do you know, ""Which fruit is yellow""?",Banana
